,,,,,,,,,,
,"4LF421 B, 3 AIA, IS, L, Danila_A",,"4LF422 B, 3 AIA, IS, L, Danila_A",,"4LF412 B, 4 AIA, CAE, L, Diaconu_L_I","4LF411 B, 4 AIA, CAE, L, Diaconu_L_I",,,,
,,,,,,,,,,
VINERI,"4LF511 B, 4 IEC, AE, L, Danila_A",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII12,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,,,"4LF441 A, 1 AIA, PCLP1, L, Dragomir_C_M","4LF442 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF442 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF442 B, 1 AIA, PCLP1, L, Cimpianu_V",,,
,,,,,,"4LF442 B, 1 AIA, PCLP1, L, Cimpianu_V",,,,
,,,,,,,,,,
MARTI,,"4LF433 A, 2 AIA, PA, L, Nitoi_M",,"4LF831 A, 2 RO, Java, L, Zolya_M_A","4LF832 A, 2 RO, Java, L, Zolya_M_A","4LF831 B, 2 RO, Java, L, Zolya_M_A",,,,
,,"4LF433 B, 2 AIA, PA, L, Nitoi_M","4LF831 , 2 RO, Engleza, S, Toader_A",,,,,,,
,,,,,,,,,,
MIERCURI,"4LF341 A, 1 TI, PCLP1, L, Ungureanu_D_E","4LF341 B, 1 TI, PCLP1, L, Ungureanu_D_E","4LF341 B, 1 TI, PCLP1, L, Ungureanu_D_E",,"4LF342 A, 1 TI, PCLP1, L, Ungureanu_D_E","4LF342 B, 1 TI, PCLP1, L, Ungureanu_D_E",,,,
,,"4LF341 A, 1 TI, PCLP1, L, Ungureanu_D_E",,"4LF342 A, 1 TI, PCLP1, L, Ungureanu_D_E",,,"4LF342 B, 1 TI, PCLP1, L, Ungureanu_D_E",,,
,,,,,,,,,,
JOI,"4LF841 A, 1 RO, PCLP1, L, Cocias_T_T","4LF841 B, 1 RO, PCLP1, L, Cocias_T_T","4LF841 B, 1 RO, PCLP1, L, Cocias_T_T",,"4LF444 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF444 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF444 B, 1 AIA, PCLP1, L, Cimpianu_V",,,
,,"4LF841 A, 1 RO, PCLP1, L, Cocias_T_T",,,,"4LF444 B, 1 AIA, PCLP1, L, Cimpianu_V",,,,
,,,,,,,,,,
VINERI,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIV5A,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,"4LF311 B, 4 TI, PIU, L, Popa_Lumi","4LF322 A, 3 TI, PG, L, Popa_Lumi","4LF321 B, 3 TI, PG, L, Popa_Lumi","3, TI, PG, C, Popa_Lumi",,,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,"4LF321 A, 3 TI, PG, L, Popa_Lumi","4LF322 B, 3 TI, PG, L, Popa_Lumi","4LF311 A, 4 TI, PIU, L, Popa_Lumi","4LF312 A, 4 TI, PIU, L, Popa_Lumi","4LF332 B, 2 TI, SDA, L, Kristaly_D_M","4LF331 A, 2 TI, SDA, L, Kristaly_D_M",,,,
,,,,,"4LF332 A, 2 TI, SDA, L, Kristaly_D_M","4LF331 B, 2 TI, SDA, L, Kristaly_D_M",,,,
,,,,,,,,,,
MIERCURI,"4, TI, Cripto, C, Kristaly_D_M","4LF311 +..., 4 TI, Cripto, P, Kristaly_D_M","4LF311 B, 4 TI, Cripto, L, Kristaly_D_M",,"4LF322 A, 3 TI, APD, L, Bratu_D","4LF321 B, 3 TI, APD, L, Bratu_D","4LF321 A, 3 TI, APD, L, Bratu_D",,,
,,,,,,,,,,
,,,,,,,,,,
JOI,"4LF312 A, 4 TI, Cripto, L, Kristaly_D_M","4LF311 A, 4 TI, Cripto, L, Kristaly_D_M",,"4, TI, PIU, C, Popa_Lumi","2, SATI, PAMCVP, C, Popa_Lumi","4MF131 A, 2 SATI, PAMCVP, L, Popa_Lumi",,,,
,,,"4LF841 +..., 1 RO, Engleza, S, Toader_A",,,"4LF321 +..., 3 TI, APD, P, Bratu_D",,,,
,,,,,,,,,,
VINERI,"3, TI, APD, C, Kristaly_D_M",,,,"2, SATI, CSVPI, C, Kristaly_D_M","4MF131 A, 2 SATI, CSVPI, L, Kristaly_D_M",,,,
,,,,,,"4MF131 A, 2 SATI, CSVPI, P, Kristaly_D_M",,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII11,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF411 B, 4 AIA, SAR, L, Coman_S","4LF412 B, 4 AIA, SAR, L, Coman_S",,,"4LF831 A, 2 RO, TS1, L, Zaha_M_V","4LF831 +..., 2 RO, TS1, P, Zaha_M_V",,,,
,,,,,"4LF831 B, 2 RO, TS1, L, Zaha_M_V","4LF832 A, 2 RO, TS1, L, Zaha_M_V",,,,
,,,,,,,,,,
MARTI,,"4LF412 A, 4 AIA, SAR, L, Coman_S","4LF412 B, 4 AIA, SCF, L, Boldisor_C_N","4LF411 B, 4 AIA, SCF, L, Boldisor_C_N","4LF821 A, 3 RO, IR, L, Muntean_B","4LF821 B, 3 RO, IR, L, Muntean_B","4LF822 A, 3 RO, IR, L, Muntean_B",,,
,,,"4LF412 A, 4 AIA, SCF, L, Boldisor_C_N","4LF411 A, 4 AIA, SCF, L, Boldisor_C_N",,,,,,
,,,,,,,,,,
MIERCURI,"4LF432 A, 2 AIA, TS, L, Coman_S","4LF431 A, 2 AIA, TS, L, Coman_S","4LF413 A, 4 AIA, SAR, L, Coman_S","4LF444 A, 1 AIA, Tehnologii web, L, Itu_A","4MF131 A, 2 SATI, BDMD, L, Turcu_D","4LF421 B, 3 AIA, TIA, L, Suciu_C",,,,
,"4LF432 B, 2 AIA, TS, L, Coman_S","4LF431 B, 2 AIA, TS, L, Coman_S",,,,,,,,
,,,,,,,,,,
JOI,"4LF433 B, 2 AIA, TS, L, Coman_S","4LF411 A, 4 AIA, SAR, L, Coman_S","4LF331 A, 2 TI, PS, L, Boldisor_C_N","4LF413 A, 4 AIA, Optimizari, L, Andrei_A_M","4LF412 B, 4 AIA, Optimizari, L, Andrei_A_M",,,,,
